genes
CHI3L2
CDCA7
LSP1
KLRG1
MID1IP1
IQCG
MT3
TUBB2A
EGR4
PKM
GPR15
CD9
BTG2
MYBL2
KLF6
BUB1
MCM2
GPR25
CDKN1C
PRSS35
TIGIT
ISG15
IKZF2
SMC2
ASB2
FAM83D
TCF4
CXCR3
NEIL3
PSAT1
PSRC1
GNA15
RAN
RAD51
GBP5
IGLON5
PROK2
MS4A7
PIF1
MMP9
MELK
CDC45
CRABP2
TAGLN2
SLC1A4
BAMBI
HIST2H2BF
HAVCR2
MCM10
ITM2C
ANLN
SPRY2
ESCO2
PCSK1N
ANP32B
OASL
IFI6
EGR2
TSPAN13
SLA2
VCAM1
AC017002.1
CHORDC1
TPM4
RSAD2
CD7
CCR9
NFKBIZ
TLR5
AHNAK
TMSB10
KIAA0319L
IGFBP4
NASP
LTA
HSPA2
CORO1A
SOCS3
MSC
HIST1H2AJ
TMPO
BATF3
ALOX5AP
HES4
IFI44L
E2F8
FANCI
GFPT2
RTKN2
TCF7
GALNT2
ENTPD1
PLEK
LANCL2
IDH2
UBE2S
CLNK
LDHB
GRINA
ZFP36L1
TNFSF8
TUBA1C
TNFAIP8
RRM1
PPIA
TSPYL2
REG4
RAD51AP1
CTSH
KLF10
RANBP1
FBXO5
HIST1H4B
ITM2A
S100A2
MND1
LDHA
MALAT1
CLU
IGFBP3
TPI1
CDKN2A
MCM6
AC133644.2
SYNGR2
S100A6
CCDC34
CD52
DEK
CITED2
BRCA1
CLIC1
NEAT1
UBE2T
CCND1
BCAT1
CARD16
PSME2
RDH10
SPC24
CES1
ENO1
PIM1
HNRNPA2B1
MIR4435-2HG
PRDM1
ABLIM1
MAD2L1
EZH2
TTK
OSGEPL1-AS1
RORC
PIM2
CISH
PRDX1
CSF1
S100A10
IFITM3
SLC40A1
MT-ND5
CHN1
FSCN1
ZC3H12A
FKBP4
DDX3Y
WDR34
CRADD
YWHAE
RASIP1
OSBPL6
FRMD4B
RPLP1
RPLP0
IRF1
HIST2H2BE
CD82
NUCKS1
CENPN
HLA-DMA
BIRC3
SHCBP1
TSHZ2
GBP1
IRF4
RBBP8
RGS13
TRABD2A
FOXM1
NAF1
PRNP
SIRPG
NUF2
BATF
GATA3
AHSA1
IFIT1
MT-ATP6
LINC01281
TNFSF11
IFITM1
CDKN2C
TPT1
CD4
NELL2
CD200R1
CTSW
CYB5D2
BLK
CTSB
GMNN
ARHGEF39
CD8B
H3F3B
NEK2
TNFSF9
TOX2
KPNA2
CDK6
PPP4R4
FTCD
PAICS
CALR
PSMA4
CDK2AP2
PLPP1
FXYD7
HELLS
PRSS23
CHEK1
E2F2
TRBC2
ZEB2
HIST1H2AM
RPA3
SPRY1
SMCO4
CORO1B
SOCS1
ENC1
OAS1
ADTRP
TTN
GADD45A
MAF
CTHRC1
GPAT3
ICOS
CDC25B
PDE4D
HIST1H2BC
HIST1H2AC
HNRNPAB
NUCB2
PDE7B
CARHSP1
PPP1R14B
TCF19
IFITM2
CMSS1
CD34
APOBEC3H
TRGC2
PLAUR
LMCD1
C12orf75
NPDC1
PDE4B
F5
FAIM2
IL9R
EOMES
SATB1
MEF2C
PRRG4
BCL2A1
C1orf162
SH2D1A
SKA3
DLX2
NR4A3
WARS
BAG3
KIF4A
HIST1H2AE
ADGRE5
ANKRD28
GREM2
HIST1H2BI
TIMD4
CFL1
MAP3K8
PLAC8
IL4I1
PTP4A1
EGR3
AKR1C3
HIST1H4D
YBX3
MXD3
TNIP3
CNIH1
HBEGF
TAGAP
LGR4
GGH
RBPJ
APOBEC3G
RASD2
DEPDC1B
MAGEH1
FBLN7
NFKBID
CD300A
NCAM1
LY9
CD86
PRDX3
OIP5
CREM
PTPN13
CD27
HIST1H2BL
ZBTB16
HIST1H4H
HIST1H2AB
ITPR1
CTNNAL1
TMIGD2
BIK
PHGDH
ATP1B1
SH3BGR
HIST2H2AB
PHF19
ICA1
H1FX
HIST3H2A
COX8A
FGL2
CLDND1
ANP32E
DYNLL1
PTP4A3
RPS6
YWHAH
TRMO
LIMS1
NDC80
ROR2
PTGER2
PRC1
RAB31
LST1
HBA1
SKA1
CLECL1
IGLV2-14
RYR2
TIFA
CD248
HIST1H2BF
ADGRE2
NCAPG2
CTNNA1
USPL1
ODC1
PGAM1
DUSP6
PDGFA
TSC22D3
PTPN6
IFRD1
IL23R
PHEX
ARG2
CAMK1
HMGA1
CAMTA2
DCP1B
P2RY14
SERPINE2
ETV7
IL6ST
BCL2L1
CXCR5
LYAR
SQSTM1
EPHB6
TTC38
KLF4
RPS8
CTSC
ZNF331
ZNF80
EDA
LCP1
ACY3
PRDX2
NOTUM
FEZ1
ANXA5
HIST1H4I
NUDT4
IL26
NFKBIE
CMTM8
FES
JAML
TNFAIP3
STOX1
ITGB1
BHLHE40-AS1
RMI2
H2AFY
TNFSF10
DNMT1
TMEM106C
TLE1
COL6A2
KIFC3
CPNE2
ATAD5
ADRB2
ARID5B
DLL1
DTHD1
CD55
PGK1
ATAD2
NEFH
DST
TRAF1
PEG10
MT-ND6
MYBL1
MTHFD2
NINJ1
HIST1H2BG
PKIA
IMPDH2
CADM1
XAF1
SNHG15
IKZF4
AIF1
TNFRSF8
BLM
DOK2
CCND3
DDX39A
FCRL3
TGFBR3
TUBA1A
POLQ
TXK
SAC3D1
NME1
NDFIP2
IGSF10
RBKS
ALDOA
FKBP5
LPAR6
HMGN5
GNAL
LAMA3
ELMSAN1
RDM1
NCAPH
FCRL6
GCSAM
NEU1
ORC6
PPA1
FILIP1L
NPM1
PIM3
AFAP1L2
TCEA3
SNX9
ACOT7
CCDC167
MT-ND2
BRCA2
MT1F
PDLIM1
TOX
CALM3
CTH
SOD2
GATA3-AS1
ICAM1
NQO1
GBP4
SCUBE1
CHMP1B
HTATIP2
CPA5
DAPP1
MTSS1
EVL
GLRX
RPS13
E2F7
ZNF300
LINC00384
GLA
TESPA1
MIR181A1HG
IDH1-AS1
ARHGAP11A
NEDD4L
BUB1B
SOX6
PIK3R1
GRAMD1A
GTSCR1
POC1A
THADA
TYMP
CDC25C
ITGAM
BCL2L11
SAP30
AOAH
SERTAD3
PI16
SMC3
BCAS1
NAMPT
RAB6B
COCH
LRRC28
USP1
ADAM12
COX5A
DBN1
CENPK
NAP1L1
BTG3
LIG1
CCNF
CSRP2
YBX1
POU2F2
LSM4
TESC
CXCR4
PSMC3IP
SLC18A2
TRAT1
CENPH
CHAF1A
AUTS2
IL6R
CCDC50
MZB1
RFC4
KCNA3
SIT1
PTGDR
FAM71F2
DEDD2
SLC9A3R1
SLBP
CX3CR1
MCOLN2
NABP1
RTN4R
IL21-AS1
RAB38
ITGB2
TNFRSF25
PKIG
HAPLN3
SYNGR1
ARPC1B
DUSP5
CCNE2
NCAPD2
TRGC1
DCTN3
MAD2L2
ECT2
CYSLTR1
UNG
RAB9A
C1orf21
TUBB6
CCT5
HSPE1
KIF20B
SARDH
PLEC
ACTN1
IFITM10
KLRC4
EPSTI1
HIST1H2BK
CIART
BST2
ITGA4
NUDT1
TNFSF13B
GRSF1
TMSB4X
RNASEH2A
PDCD1
SKA2
CDCA7L
CCR2
TMEM173
HSPB1
PHPT1
AC002454.1
TCEAL2
MT-ATP8
SPINK2
GPR34
GLIS3
C21orf58
TRAF3IP3
SEMA4A
FASN
CD59
NCDN
STIL
PDE4A
COL6A1
MYO1E
ARL4D
KIF22
TRAF4
HSP90B1
ABI3
GPR155
EZR
S1PR5
ATP8B4
EXO1
CHRNA1
TRAC
MT-CYB
NME2
CACYBP
CTSA
GREB1
OVCH1-AS1
APOBEC3C
FAM131C
TKTL1
CACNB2
PAQR4
ZBTB32
ZNF296
ARRDC2
TRIP13
TRIB1
LYPD3
LINC01588
LMO4
HSPA5
GGCT
PTGER4
STAG3
C3orf14
ULBP2
MEOX1
CCDC168
RCBTB2
EMP3
GALM
PGM2L1
CKB
SUSD3
AHR
RNF130
TCTN3
MIR3142HG
SIVA1
MXRA8
MYB
CRNDE
MDS2
SYTL2
ARL11
SERINC5
CCDC88A
GOLIM4
HERPUD1
PABPC1
IER5
MYOM2
PRKAR2B
BFSP2-AS1
BAIAP2L1
FAM174B
KIF18A
LGALS9
HIST1H3J
DPP4
CD80
DEPDC7
SOWAHD
BBC3
LINC00402
MFSD2A
MGLL
SLFN5
CARS
CSRNP1
C9orf16
RHBDL1
ATP6V0A1
RUNX2
ANAPC11
CPOX
PARD6G-AS1
CNN2
TIMELESS
RPL4
PPIF
SPTBN1
SHMT2
CKLF
DBNDD2
HLF
UNC5B-AS1
DNAJC9
ATP9A
CD160
NUDT11
ME1
LAT2
ANXA6
MLF1
LYST
CFH
IGFLR1
GPR171
HIST2H2AC
RCAN2
SLAMF1
SNRPG
MT-CO2
MIR34AHG
PLK3
HIST1H2BB
ETV1
RCSD1
LMO7
SDF2L1
VPS37B
GMPR
CHAF1B
EIF4A3
PECAM1
CNFN
SMC1A
PCBP3
MTFR2
CLEC2B
LIME1
NSG1
TSPAN2
INA
RAC2
KLF5
GPRC5C
CPNE5
GLIPR1
PTGS1
MCAM
SH3BGRL3
SYNM
TMEM155
KNSTRN
PELI1
PERP
ZNF208
NFKB1
PLIN2
SRSF2
C11orf96
TSPAN17
B3GNT5
SNRPB
MYL9
PLCG2
CLIC2
MYO1G
ASCL2
PFKFB3
DNAJA1
LINC00861
GSTP1
SLC27A2
UQCC2
RNF19A
ANKRD10
HRH2
IFNGR1
BCL2
GPR35
HIST1H2BO
LRRCC1
CCSER1
CIT
FAM110A
RACGAP1
MLKL
RPL13
DNPH1
ADAMTS4
FAM161A
GLIPR1L2
HNRNPLL
ARL5B
SEC11C
CMC2
SLC1A5
PLEKHF1
NKRF
GPR68
CKAP2
SAE1
SCML1
SH3BGRL2
BEST1
FCMR
GTSF1
RCAN3
SLC9A9
CCNH
MASTL
C1QBP
CBX5
ZC3HAV1
EFNA1
PPP1R18
TBXAS1
NAB1
BAIAP2L2
SPHK1
BACH2
ZDHHC12
CBX3
ESPL1
GPR141
MS4A1
C19orf48
INPP4B
FSTL3
LINC00891
PSPH
ARL4A
BAX
MYL6B
MSC-AS1
RAB37
GPSM2
ACKR3
SNAP23
PYHIN1
GPT2
SPAG5
EHHADH
AKNA
ABTB2
NFATC1
TNIK
DTYMK
H2AFJ
SRRT
CRMP1
GPR65
STX11
IRS2
MCTP1
PATL2
FZD3
CEP78
MNDA
VDR
FLNA
PTPRM
HOXB2
LIMA1
HIRIP3
MFHAS1
RNF213
EEF1A1
NEFM
GOLGB1
CH25H
SYP
IDI2-AS1
MAFF
EPB41L2
SYNE2
ZMYND11
CXXC5
TRGV5P
IGHV1-3
NCF4
ZACN
ARL3
KCNQ1OT1
TNS4
NTRK1
XBP1
HIST1H2BN
LGMN
SEMA6A
PRKDC
TIAM1
GYG1
NPB
SMS
SESN2
SH2D2A
HADH
EFHD2
RAD54L
KBTBD8
MAML2
SAMHD1
RHEBL1
ZBTB10
SNHG22
ATP1B2
C17orf49
P4HA2
FXYD1
NINJ2
TRGV1
AC002306.1
UPP1
NDUFB3
SET
TBC1D4
MACC1
MYH9
ITPRIPL2
METTL7A
ATP2B1
S100P
TRG-AS1
RAD50
GABARAPL1
FAAH2
DCTPP1
DSCC1
SLC6A8
RIN3
MTMR11
RFC2
SCML4
SMIM10
PSMB2
SV2C
REEP4
TMEM171
ACOT9
TFDP1
ZFHX3
TMEM123
SH3YL1
CCDC173
CBR3
STIP1
FGD4
SCN1B
COL9A2
AFF3
MPZL2
ELL2
CYSLTR2
LIMS2
SPN
FLT1
NUP58
CPM
MIR222HG
HERC5
GTF3C1
FAM107B
ADAM19
UBALD2
AHI1
SNRNP25
SNHG7
BTG1
GPAT2
CCDC184
LRR1
IL2RB
FCGR3B
FAM13A
PDCL3
NFKB2
GNB4
GSTM2
LINC00158
SNAI1
TSPO
NUAK2
PA2G4
CD48
TMEM120A
PHLDA3
SLC43A3
UBXN11
PDE3B
FDXR
SC5D
ALOX5
TXNDC5
PRKAR1B
RNASEH2B
FLT3LG
C5orf17
PYCARD
CACNA2D4
UTY
CD28
IL5RA
HNRNPD
SPATS2L
TP73
TMPRSS6
ZDHHC15
E2F1
ASMTL
ITGA1
FAM72B
CDK4
KIF19
GIMAP6
FBXO32
NREP
BAZ2B
MBNL2
EMP1
SNHG8
TRIB2
MXD1
VCL
AC010894.3
TRIM59
ANKRD33B
FBXO43
DECR1
SRGN
ERN1
ANAPC1
ABRACL
NAPSA
GBP2
P4HA1
HLA-DMB
TALDO1
DENND2D
FGR
SLAMF7
ILDR2
PLXND1
SOD1
ADA
NT5E
UGT8
MBOAT7
SYTL3
MTHFD1
RAB33A
TST
MUC12
HFE
PXMP2
WDR76
CTSD
JAG1
AKAP5
LBR
EDA2R
FAM102A
LRRC8D
LINC01252
MIF
ACTR3
MARCKSL1
MIS18BP1
MDH1B
LSMEM1
LDLR
SQLE
PHACTR2
DDAH2
TRAP1
LYZ
LGALS3BP
PGLYRP2
PBX4
ALPK2
TUBG1
MYO1B
DDIT4L
ATL1
DCLRE1B
ALOXE3
AEN
RORA
EPPK1
SLC12A7
KIF21A
PM20D2
ITGB7
CSGALNACT1
CEP70
IL12RB2
ST6GALNAC3
NSMCE1
LAIR1
PPP1CA
RPS27L
RGS18
MGST2
LDLRAD4
TMEM178B
NRIP3
PER1
NEXN
SMPDL3A
GATA6
CD226
JAKMIP1
LAT
PLXNA4
SRGAP3
CEP350
SIAH2
TJP2
DERL3
PHTF2
GPRIN3
YPEL2
OLFM2
RPL32
CCDC112
TICRR
SGPP2
ARL4C
LBH
NSRP1
CACNA1I
SUOX
GIMAP4
PYCR1
CXADR
ADGRB2
FBLN5
PLSCR1
ESF1
TANK
CD68
SRSF3
SLC2A8
KLHL23
HSD3B7
IL18RAP
PIK3R6
RAB11FIP1
CHST2
MAP1A
SLC9A7
FNBP1L
NDUFAF3
RARG
RPS2
SLC20A1
CLIC5
ANKRD9
TMEM14C
IFNG-AS1
EIF3A
NIM1K
DAPK2
RGS10
RPL22L1
SERPINB9
TMOD1
WDR62
TNFRSF1B
ZNF282
MYCBP2
TUBB3
USP18
CYCS
EEA1
B3GALT2
RHOC
KDM6B
FLVCR2
GPN3
RBM3
RPS12
SLC14A1
RYR1
FAM167B
CDK16
AKR7A3
LSR
NAP1L4
AKAP12
CDC14A
C9orf24
SH3TC1
LINC01550
VIPR2
HSPA4
FAS
IGFBP2
NR3C1
CDC25A
ZC2HC1A
APP
CDCA4
SH3BP5
UBXN10-AS1
PNMA5
GPCPD1
KCTD12
PCNT
MYO1F
ZNF385A
SEMA7A
HSH2D
CEP128
BCL6
ACHE
ASMT
MANF
TIMM10
BCL2L14
STRIP2
HIST1H3A
MYL12A
ST3GAL1
CCDC122
PRR7
MEX3B
GIMAP7
HTRA1
SLC16A3
C4orf46
GMFG
ANTXR2
LINC01215
SRSF7
DPYSL2
UTS2
RPS18
CCDC150
AKAP9
EIF5B
ITGB2-AS1
ICAM2
TSHR
ITGAX
EEF1A2
MAST4
H3F3A
CEP152
ABCB1
SYAP1
GYPC
LILRB1
NRM
RFX2
SESN1
YWHAQ
ATF7IP2
RUVBL2
IER5L
RPL39L
H2AFY2
RHBDD2
IL3RA
MYO5B
PTPRN2
RAB34
CCDC171
PINLYP
REC8
TFRC
ITGA6
DSEL
SNAP47
CFAP73
PSMC3
PRR11
FOXB1
INPP5F
HAT1
FKBP1A
TGFBR3L
CHDH
TOPBP1
MEST
CCR5
SYCP2
FASLG
FHAD1
RND1
ITGAL
NOLC1
MPZL3
TTF2
AHCY
ITGAE
YEATS4
SORL1
FOXJ1
ANKRD29
TGFBI
C1orf112
HIST2H2AA4
ING2
PSMD1
RFC3
CENPO
GCHFR
SNHG9
PAG1
TBC1D8
CCDC152
MYLIP
ST8SIA6
SPDL1
ATIC
DNM3
PRKCE
RCCD1
PLK4
CFAP53
NEMP1
PPP1R15B
MCL1
FAM3C
CD244
CACNA1C
SORT1
CDK5RAP2
METTL21A
CMIP
LINC00511
KCNK5
CD109
SHC4
EVI2B
CLEC11A
CYB561
RIF1
COLGALT2
NCF1
HDGF
ASXL2
DAAM1
ETFB
SAPCD2
HIVEP1
BARD1
CAMK4
TTLL7
CCND2
KDSR
FAM111A
PON2
ABCA1
PXDC1
SNRPD1
BLVRB
RRAS2
SLC39A14
DHRS4L2
SIPA1L1
APBA2
NANS
PPP5D1
SLF1
EID1
DDIT3
SSBP2
MSH2
SH3BP1
NBL1
ARHGAP19
NOP56
USP2
CYBRD1
HIST1H4A
BZW2
HACD1
PSMB10
MTUS1
CITED4
ADD3
ANXA2R
TCEAL3
OAS3
CCDC146
NCAPH2
DHCR24
PSMB8
EPHA4
ACYP1
EFHD1
ATP1B3
PARP1
HOXB6
ADI1
CD63
FAM49A
ADRB1
IFI16
TRAM2-AS1
ZNF629
RASGRP2
PALLD
CCNG2
MAP9
MICAL2
KIAA1324
C1orf54
NLRP6
KLLN
CHD4
SSBP3
CLIP2
RRP7A
EIF2S2
ALDH7A1
LCNL1
LCP2
SLFN11
FAM160B1
CDH1
TCP1
CXorf21
ATF4
CD84
WNT11
KCNAB1
IFI35
BCAS2
TTC39C
GHET1
GLUD1
HES6
TXNRD1
IRF6
SMARCA5-AS1
TOB1
RNASE6
DHX9
TRADD
OXNAD1
BANF1
ALG13
ERCC6L
SFPQ
HMGN3
CD200
RUNX1
TMEM220
ZYX
RORB
GFI1
MTFP1
RASL11A
AP000866.1
LGALS9C
BRIP1
TGFB1I1
SKAP1
POLR1E
MRC2
SDC4
PNMA1
ADGRE1
PTPRK
CLMN
PGAP1
LUC7L3
MRPL23
CD151
ZCRB1
AOC2
PLP2
ESPN
MRPL1
LY75
SNRPF
TNFSF14
NBPF14
NCOA7
ANK3
CEP290
CD5
HIPK2
RB1CC1
MAP3K1
PMEPA1
METRNL
THEMIS
C9orf147
NANOS1
LILRB3
SMARCA2
ABAT
RRBP1
UBE2A
CDC42EP3
GIMAP5
VOPP1
NPM2
TACC3
CLDND2
IL18R1
IFIH1
FURIN
TSPAN18
PDGFRB
GRASP
EEF1G
LSM5
ATF5
DSN1
ZNF367
HNRNPF
GLIPR2
TEX30
BDP1
ORAI2
C22orf15
KMT5A
SLC11A1
POLD1
CDKL3
SKAP2
ARRDC3
ORC1
SH2D4A
GATM
PLEKHA5
TGIF1
TEX29
P2RX5
CD274
FAM153B
PLEKHA7
EVI5
LGALS9B
SAMD3
PLEKHG3
MLLT3
RPS6KA1
PRR5L
PHACTR1
TMEM244
CMPK2
DBI
SEC14L1
LITAF
SLC7A5
ANAPC15
PRIM1
TMEM9
FAM177A1
SERPINB1
PARP14
AFAP1
MARVELD2
PIK3IP1
CEBPB
ANKRD26
ARHGAP25
SEC14L2
CHRM3-AS2
ZC3H12D
EIF5A
VDAC1
CCDC153
PTGES3
ZNF106
C16orf54
HDAC7
ASNS
USP28
SERTAD1
THAP2
RECQL4
CREB3L3
EML2
ZP3
FOSL2
CNN3
P2RY10
CHD7
EIF2AK2
USP46
EXOC3
LYN
ANG
RAB30
TWISTNB
ZNRF1
PODXL2
PRKCB
FADS1
MCTP2
CELF2
MZT1
AMOT
IGHV1-2
AANAT
ACAT2
PHIP
PLEKHG2
MACF1
MRPL37
TNFRSF10D
TM4SF19
PTPRCAP
ITPRIP
TBC1D10C
CHCHD10
LGALSL
POLE2
CFAP20
IL23A
SRM
EPHX4
CDKN2D
SLAMF8
FAM43A
FAM216A
MIR181A2HG
RASGEF1B
ARHGAP18
DRAIC
CSE1L
KLF11
PARP2
SLC29A1
COMMD4
PSMB9
ERH
S1PR1
SIPA1L2
FBXO27
PARP9
HPSE
ZNF239
POC5
LPCAT1
CCM2
IVNS1ABP
KAT6B
NAA38
BLVRA
PIK3AP1
HNRNPA1
SLC22A17
AP1M1
ARNTL2
POLA1
LKAAEAR1
KLF3
AGTRAP
GRAMD1C
GFOD1
FYN
ZC3H6
CDK2
DNAJC15
SDCBP
CCDC191
HSPB11
CAPN12
EPHX2
CAPN2
ST8SIA4
TMEM256
PACSIN2
TARS
MORC2-AS1
SLC22A15
POT1-AS1
ARPC5
TRIP10
EBNA1BP2
MRPS33
BCO2
PIP5K1B
NOP16
RCAN1
GINS4
TMEM163
CLTA
PIWIL2
MPST
TTYH2
WDR1
CERCAM
EFNB1
C16orf87
RBX1
RTCA-AS1
DBH-AS1
ACAT1
ARHGAP10
CARD19
IQGAP2
MB21D2
GBE1
PFKFB4
PAM
SLC25A19
KCNC3
SLCO4A1
NPHP1
BTBD11
POLD3
ZDBF2
GABPB1-AS1
RGPD2
EHD4
POMC
PVT1
RFC5
NETO2
ZNF667-AS1
KRCC1
CDON
TTC39C-AS1
ZNF365
BGLAP
FLNB
AK5
CASP8AP2
CDC42EP2
MICB
WDHD1
OTUB2
SNX10
TXNDC17
SSRP1
METTL8
CCDC65
ERRFI1
PSMA5
PLIN3
PTPN7
TEAD3
ZC3H12B
DUSP10
ENPP2
ZNF391
SMIM3
CLN6
KIF24
PKNOX1
IL21R
LRIF1
GAB2
ASRGL1
CXCL16
KBTBD11
LINC00944
ODF2
PLAGL2
ITPR2
PRKCA
BCL3
EME1
CDC42EP4
NCAPD3
ISG20
TUFT1
PRCD
NEDD9
FANCA
SPTAN1
ANXA4
KCNK12
UBE2E2
PLD6
SYNE1
LTBP1
BPGM
IL17RE
SLC38A2
SKIL
MSH6
RFPL2
FOXP1
NCR1
TMPO-AS1
CDC14B
ABCD2
CEP44
RPSA
TMEM107
ETV6
MT-CO1
HSF4
DMKN
CGN
THEM4
CYTH3
CEP162
TMCC2
JUND
CDKN2B
EPHA1
ACSL4
SPECC1
TSPAN15
GINS3
EPM2A
LRP12
CAMK1D
B3GNT2
CCDC18
CST3
PDIA6
CHCHD1
ITGA2
NDUFV2
B3GNT8
NOP10
MMS22L
SPATA33
ISOC2
C1orf53
IKZF3
GPX4
TCOF1
MAP3K13
SASH3
SAMD9L
ABCG2
MIR194-2HG
LINC00239
GOLGA4
RAD21
RPS6KA2
MDM2
SLC16A1
TP53TG3D
PPP1CC
SAMD1
TP53BP2
GBP3
MAP7
STX1B
ITGB3BP
C8orf88
MAP3K4
OPLAH
TNFRSF11A
REL
H1FX-AS1
APLP2
FKBP11
DLL3
C9orf139
TICAM2
DDX21
VSIG10L
CEP295
FAM171A1
